0.2	0
0.4	0
0.6	0
0.8	0
0.18478	0.076537
0.36955	0.15307
0.55433	0.22961
0.7391	0.30615
0.14142	0.14142
0.28284	0.28284
0.42426	0.42426
0.56569	0.56569
0.076537	0.18478
0.15307	0.36955
0.22961	0.55433
0.30615	0.7391
1.2246e-17	0.2
2.4493e-17	0.4
3.6739e-17	0.6
4.8986e-17	0.8
-0.076537	0.18478
-0.15307	0.36955
-0.22961	0.55433
-0.30615	0.7391
-0.14142	0.14142
-0.28284	0.28284
-0.42426	0.42426
-0.56569	0.56569
-0.18478	0.076537
-0.36955	0.15307
-0.55433	0.22961
-0.7391	0.30615
-0.2	2.4493e-17
-0.4	4.8986e-17
-0.6	7.3479e-17
-0.8	9.7972e-17
-0.18478	-0.076537
-0.36955	-0.15307
-0.55433	-0.22961
-0.7391	-0.30615
-0.14142	-0.14142
-0.28284	-0.28284
-0.42426	-0.42426
-0.56569	-0.56569
-0.076537	-0.18478
-0.15307	-0.36955
-0.22961	-0.55433
-0.30615	-0.7391
-3.6739e-17	-0.2
-7.3479e-17	-0.4
-1.1022e-16	-0.6
-1.4696e-16	-0.8
0.076537	-0.18478
0.15307	-0.36955
0.22961	-0.55433
0.30615	-0.7391
0.14142	-0.14142
0.28284	-0.28284
0.42426	-0.42426
0.56569	-0.56569
0.18478	-0.076537
0.36955	-0.15307
0.55433	-0.22961
0.7391	-0.30615
